"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_sbec_ee_cont","pubh_sbec_row_id","Subscriber Employee Contribution","Row Identifier","numeric"
"dbo","pub_sbec_ee_cont","pubh_guid","Subscriber Employee Contribution","Globally Unique Identifier","char"
"dbo","pub_sbec_ee_cont","pubh_action_cd","Subscriber Employee Contribution","Data Pub Action Code","char"
"dbo","pub_sbec_ee_cont","pubh_lsn","Subscriber Employee Contribution","Log Sequence Number","varbinary"
"dbo","pub_sbec_ee_cont","pubh_seq_val","Subscriber Employee Contribution","Transaction Sequence","varbinary"
"dbo","pub_sbec_ee_cont","sbsb_ck","Subscriber Employee Contribution","Subscriber Contrived Key","int"
"dbo","pub_sbec_ee_cont","sbec_eff_dt","Subscriber Employee Contribution","Effective Date","datetime"
"dbo","pub_sbec_ee_cont","sbec_term_dt","Subscriber Employee Contribution","Termination Date","datetime"
"dbo","pub_sbec_ee_cont","grgr_ck","Subscriber Employee Contribution","Group Address Line 1","int"
"dbo","pub_sbec_ee_cont","sbec_cont_type","Subscriber Employee Contribution","Contribution Type","char"
"dbo","pub_sbec_ee_cont","sbec_ee_pct","Subscriber Employee Contribution","Employee Contribution Percent","int"
"dbo","pub_sbec_ee_cont","sbec_ee_amt","Subscriber Employee Contribution","Employee Contribution Amount","money"
"dbo","pub_sbec_ee_cont","sbec_er_amt","Subscriber Employee Contribution","Employer Contribution Amount","money"
"dbo","pub_sbec_ee_cont","sbec_lock_token","Subscriber Employee Contribution","Lock Token","smallint"
"dbo","pub_sbec_ee_cont","atxr_source_id","Subscriber Employee Contribution","Attachment Source Id","datetime"
"dbo","pub_sbec_ee_cont","sys_last_upd_dtm","Subscriber Employee Contribution","Last Update Datetime","datetime"
"dbo","pub_sbec_ee_cont","sys_usus_id","Subscriber Employee Contribution","Last Update User ID","varchar"
"dbo","pub_sbec_ee_cont","sys_dbuser_id","Subscriber Employee Contribution","Last Update DBMS User ID","varchar"
