"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_merp_relation","pubh_merp_row_id","Responsible Party Relationship","PUBH_MERP_ROW_ID","numeric"
"dbo","pub_merp_relation","pubh_guid","Responsible Party Relationship","Globally Unique Identifier","char"
"dbo","pub_merp_relation","pubh_action_cd","Responsible Party Relationship","Data Pub Action Code","char"
"dbo","pub_merp_relation","pubh_lsn","Responsible Party Relationship","Log Sequence Number","varbinary"
"dbo","pub_merp_relation","pubh_seq_val","Responsible Party Relationship","Transaction Sequence","varbinary"
"dbo","pub_merp_relation","meme_ck","Responsible Party Relationship","Member Contrived Key","int"
"dbo","pub_merp_relation","merp_eff_dt","Responsible Party Relationship","Effective Date","datetime"
"dbo","pub_merp_relation","merp_term_dt","Responsible Party Relationship","Termination Date","datetime"
"dbo","pub_merp_relation","merp_mctr_trsn","Responsible Party Relationship","Termination Reason","char"
"dbo","pub_merp_relation","grgr_ck","Responsible Party Relationship","Group Contrived Key","int"
"dbo","pub_merp_relation","merp_mctr_type","Responsible Party Relationship","Responsible Person Type","char"
"dbo","pub_merp_relation","merp_last_ver_dt","Responsible Party Relationship","Last verification date","datetime"
"dbo","pub_merp_relation","merp_last_ver_name","Responsible Party Relationship","Last Verification Name","char"
"dbo","pub_merp_relation","merp_mctr_vmth","Responsible Party Relationship","Last Verification Method","char"
"dbo","pub_merp_relation","mcrp_id","Responsible Party Relationship","Responsible Person Identifier","char"
"dbo","pub_merp_relation","merp_lock_token","Responsible Party Relationship","Lock Token","smallint"
"dbo","pub_merp_relation","atxr_source_id","Responsible Party Relationship","Attachment Source Id","datetime"
