"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_umac_activity","pubh_umac_row_id","Prospective UM User Activity Data","Row Identifier","numeric"
"dbo","pub_umac_activity","pubh_guid","Prospective UM User Activity Data","Globally Unique Identifier","char"
"dbo","pub_umac_activity","pubh_action_cd","Prospective UM User Activity Data","Data Pub Action Code","char"
"dbo","pub_umac_activity","pubh_lsn","Prospective UM User Activity Data","Log Sequence Number","varbinary"
"dbo","pub_umac_activity","pubh_seq_val","Prospective UM User Activity Data","Transaction Sequence","varbinary"
"dbo","pub_umac_activity","umum_ref_id","Prospective UM User Activity Data","Reference Identification Number","char"
"dbo","pub_umac_activity","umac_seq_no","Prospective UM User Activity Data","Sequence Number","smallint"
"dbo","pub_umac_activity","usus_id","Prospective UM User Activity Data","User Identifier","char"
"dbo","pub_umac_activity","umac_activ_dt","Prospective UM User Activity Data","Input Date","datetime"
"dbo","pub_umac_activity","umac_mctr_reas","Prospective UM User Activity Data","Activity Reason","char"
"dbo","pub_umac_activity","umac_umsv_added","Prospective UM User Activity Data","Number of Service (UMSV) Rows Added","smallint"
"dbo","pub_umac_activity","umac_umin_added","Prospective UM User Activity Data","Number of Confinement (UMIN) Rows Added","smallint"
"dbo","pub_umac_activity","umac_umir_added","Prospective UM User Activity Data","Number of initial or concurrent review rows added","smallint"
"dbo","pub_umac_activity","umac_ntnb_added","Prospective UM User Activity Data","Number of Notes Added","smallint"
"dbo","pub_umac_activity","umac_mctr_cplx","Prospective UM User Activity Data","Complexity Indicator","char"
"dbo","pub_umac_activity","umac_usid_route","Prospective UM User Activity Data","Route User ID","char"
"dbo","pub_umac_activity","umac_lock_token","Prospective UM User Activity Data","Lock Token","smallint"
"dbo","pub_umac_activity","atxr_source_id","Prospective UM User Activity Data","Attachment Source Id","datetime"
